,date,hour_of_day,D_wait_time,EE_wait_time,KS_wait_time
1,2015-01-01,8.0,9.38,4.5,8.75
2,2015-01-01,9.0,10.0,11.67,5.0
3,2015-01-01,10.0,18.75,31.25,6.25
4,2015-01-01,11.0,20.0,36.88,16.25
5,2015-01-01,12.0,26.25,50.0,35.56
6,2015-01-01,13.0,30.0,57.5,50.0
7,2015-01-01,14.0,55.0,49.38,60.56
8,2015-01-01,15.0,47.14,57.5,48.33
9,2015-01-01,16.0,36.67,70.0,30.0
10,2015-01-01,17.0,61.25,63.12,
11,2015-01-01,18.0,38.75,32.5,
13,2015-01-02,8.0,10.0,10.0,10.0
14,2015-01-02,9.0,11.11,18.75,10.0
15,2015-01-02,10.0,16.67,31.5,23.5
16,2015-01-02,11.0,25.56,39.44,45.0
17,2015-01-02,12.0,34.0,49.38,59.38
18,2015-01-02,13.0,40.0,45.0,55.0
19,2015-01-02,14.0,32.5,46.67,55.0
20,2015-01-02,15.0,42.5,45.62,41.11
21,2015-01-02,16.0,31.25,44.38,15.0
22,2015-01-02,17.0,50.0,45.0,
23,2015-01-02,18.0,20.0,31.88,
24,2015-01-02,19.0,10.0,20.62,
25,2015-01-03,8.0,10.0,5.0,10.0
26,2015-01-03,9.0,10.0,10.0,10.0
27,2015-01-03,10.0,10.0,25.62,10.0
28,2015-01-03,11.0,10.0,35.62,20.0
29,2015-01-03,12.0,10.0,38.5,25.56
30,2015-01-03,13.0,46.67,36.11,33.89
31,2015-01-03,14.0,55.0,33.75,23.33
32,2015-01-03,15.0,40.0,48.89,28.89
33,2015-01-03,16.0,32.22,42.22,12.86
34,2015-01-03,17.0,33.75,37.5,
35,2015-01-03,18.0,13.75,17.0,
39,2015-01-04,9.0,10.0,13.75,10.0
40,2015-01-04,10.0,26.25,23.12,10.0
41,2015-01-04,11.0,27.5,30.62,23.75
42,2015-01-04,12.0,22.5,36.67,26.25
43,2015-01-04,13.0,28.12,36.88,16.25
44,2015-01-04,14.0,25.0,36.88,20.0
45,2015-01-04,15.0,13.75,28.12,21.25
46,2015-01-04,16.0,23.75,28.12,10.0
47,2015-01-04,17.0,12.5,29.38,
48,2015-01-04,18.0,12.5,15.0,
49,2015-01-04,19.0,10.0,6.88,
51,2015-01-05,9.0,10.0,7.78,10.0
52,2015-01-05,10.0,12.5,21.88,12.22
53,2015-01-05,11.0,11.25,30.0,11.11
54,2015-01-05,12.0,40.71,32.5,21.25
55,2015-01-05,13.0,34.44,32.78,16.25
56,2015-01-05,14.0,32.5,31.88,12.5
57,2015-01-05,15.0,50.0,35.0,15.0
58,2015-01-05,16.0,28.57,30.62,17.5
60,2015-01-06,9.0,9.38,9.5,8.89
61,2015-01-06,10.0,11.25,22.5,12.22
62,2015-01-06,11.0,16.25,37.78,25.0
63,2015-01-06,12.0,25.0,31.88,25.0
64,2015-01-06,13.0,22.5,30.62,13.75
65,2015-01-06,14.0,28.75,28.12,10.0
66,2015-01-06,15.0,21.25,38.12,17.5
67,2015-01-06,16.0,17.14,23.12,20.0
68,2015-01-07,9.0,15.0,20.0,14.0
69,2015-01-07,10.0,17.78,31.11,26.25
70,2015-01-07,11.0,20.0,36.88,40.0
71,2015-01-07,12.0,28.75,46.88,31.25
72,2015-01-07,13.0,27.5,43.75,35.56
73,2015-01-07,14.0,34.38,36.25,47.5
74,2015-01-07,15.0,20.0,36.25,47.5
75,2015-01-07,16.0,23.75,25.62,40.62
77,2015-01-08,9.0,7.5,10.62,9.38
78,2015-01-08,10.0,10.0,23.89,18.0
79,2015-01-08,11.0,13.64,25.0,21.67
80,2015-01-08,12.0,38.0,25.0,36.67
81,2015-01-08,13.0,24.44,37.5,24.44
82,2015-01-08,14.0,25.0,48.18,29.0
83,2015-01-08,15.0,18.89,35.42,15.56
84,2015-01-08,16.0,11.67,26.67,10.0
87,2015-01-09,9.0,10.0,12.78,10.0
88,2015-01-09,10.0,10.0,18.12,10.0
89,2015-01-09,11.0,13.33,24.5,10.0
90,2015-01-09,12.0,35.71,36.11,11.25
91,2015-01-09,13.0,11.11,40.5,10.0
92,2015-01-09,14.0,24.44,25.0,11.11
93,2015-01-09,15.0,30.0,20.42,11.0
94,2015-01-09,16.0,14.17,20.38,9.62
95,2015-01-09,17.0,10.0,13.75,10.0
98,2015-01-10,9.0,9.17,7.08,10.0
99,2015-01-10,10.0,10.77,23.46,10.0
100,2015-01-10,11.0,23.33,26.92,20.36
101,2015-01-10,12.0,27.5,30.0,35.0
102,2015-01-10,13.0,15.83,39.62,36.79
103,2015-01-10,14.0,27.14,28.93,32.92
104,2015-01-10,15.0,39.17,34.23,42.31
105,2015-01-10,16.0,44.44,33.08,34.17
109,2015-01-10,17.0,,25.83,30.0
106,2015-01-10,18.0,17.69,14.62,
107,2015-01-10,19.0,10.0,6.25,
110,2015-01-11,9.0,13.0,9.58,10.0
111,2015-01-11,10.0,10.0,10.0,10.0
112,2015-01-11,11.0,15.83,17.92,10.0
113,2015-01-11,12.0,20.0,18.75,10.83
114,2015-01-11,13.0,20.0,18.33,20.0
115,2015-01-11,14.0,16.67,22.31,36.25
116,2015-01-11,15.0,10.0,19.17,32.5
117,2015-01-11,16.0,12.5,16.67,10.0
122,2015-01-12,9.0,10.0,5.42,12.5
123,2015-01-12,10.0,10.0,15.0,21.67
124,2015-01-12,11.0,13.85,15.42,35.83
125,2015-01-12,12.0,23.33,21.25,20.83
126,2015-01-12,13.0,15.38,19.58,13.33
127,2015-01-12,14.0,10.0,17.08,10.0
128,2015-01-12,15.0,10.0,5.42,10.0
129,2015-01-12,16.0,10.77,5.0,10.0
132,2015-01-13,9.0,10.0,5.0,8.75
133,2015-01-13,10.0,10.0,6.43,14.17
134,2015-01-13,11.0,10.0,8.33,22.08
135,2015-01-13,12.0,10.0,15.0,10.0
136,2015-01-13,13.0,10.0,11.67,10.0
137,2015-01-13,14.0,10.0,10.0,10.0
138,2015-01-13,15.0,10.0,5.0,10.0
139,2015-01-13,16.0,10.0,5.0,13.33
142,2015-01-14,9.0,10.0,10.83,10.77
143,2015-01-14,10.0,12.5,20.83,15.0
144,2015-01-14,11.0,16.67,20.38,21.67
145,2015-01-14,12.0,16.0,20.83,19.17
146,2015-01-14,13.0,24.17,20.83,11.67
147,2015-01-14,14.0,10.0,20.0,10.0
148,2015-01-14,15.0,10.83,18.33,10.0
149,2015-01-14,16.0,10.0,10.0,10.0
158,2015-01-15,9.0,8.75,5.83,9.17
159,2015-01-15,10.0,10.0,15.38,10.77
160,2015-01-15,11.0,10.0,19.58,36.79
161,2015-01-15,12.0,10.0,21.67,37.69
162,2015-01-15,13.0,14.17,20.71,17.5
163,2015-01-15,14.0,10.0,22.92,16.67
164,2015-01-15,15.0,16.67,15.42,10.0
165,2015-01-15,16.0,10.0,6.54,10.0
168,2015-01-16,9.0,10.0,5.42,9.58
169,2015-01-16,10.0,10.0,22.14,15.0
170,2015-01-16,11.0,16.67,29.58,28.46
171,2015-01-16,12.0,20.0,27.08,33.33
172,2015-01-16,13.0,15.45,32.69,31.67
177,2015-01-16,14.0,,27.92,33.08
173,2015-01-16,15.0,11.67,26.67,38.33
174,2015-01-16,16.0,31.67,17.5,15.0
179,2015-01-17,9.0,10.0,20.0,9.23
180,2015-01-17,10.0,24.0,35.38,34.17
181,2015-01-17,11.0,32.08,41.67,59.17
182,2015-01-17,12.0,32.31,41.67,53.33
183,2015-01-17,13.0,40.0,40.83,50.0
184,2015-01-17,14.0,46.67,35.83,44.29
185,2015-01-17,15.0,45.62,45.83,40.0
186,2015-01-17,16.0,26.15,35.42,34.55
187,2015-01-17,17.0,39.17,34.64,
188,2015-01-17,18.0,18.46,18.57,
192,2015-01-18,9.0,12.31,33.33,12.31
193,2015-01-18,10.0,26.67,44.23,39.23
194,2015-01-18,11.0,43.85,62.86,77.5
195,2015-01-18,12.0,44.62,69.23,74.23
196,2015-01-18,13.0,51.54,75.77,80.42
197,2015-01-18,14.0,58.33,57.5,61.25
198,2015-01-18,15.0,37.78,67.69,63.33
203,2015-01-18,16.0,,46.67,65.0
199,2015-01-18,17.0,40.0,41.67,45.0
200,2015-01-18,18.0,36.67,40.0,
201,2015-01-18,19.0,19.17,19.17,
205,2015-01-19,9.0,8.75,17.08,11.67
206,2015-01-19,10.0,18.33,40.42,41.67
207,2015-01-19,11.0,36.0,36.67,73.33
208,2015-01-19,12.0,36.92,53.33,75.83
209,2015-01-19,13.0,46.67,70.0,79.17
210,2015-01-19,14.0,40.0,,66.25
211,2015-01-19,15.0,34.17,60.0,77.08
212,2015-01-19,16.0,35.83,69.17,53.75
213,2015-01-19,17.0,26.67,77.5,25.0
214,2015-01-19,18.0,14.17,30.0,
215,2015-01-19,19.0,10.0,25.83,
218,2015-01-20,9.0,10.0,6.79,10.0
219,2015-01-20,10.0,10.0,18.57,15.0
220,2015-01-20,11.0,16.15,26.79,45.67
221,2015-01-20,12.0,19.17,32.08,30.0
222,2015-01-20,13.0,28.85,25.38,11.43
223,2015-01-20,14.0,15.83,21.25,10.0
224,2015-01-20,15.0,10.0,20.83,10.83
225,2015-01-20,16.0,10.0,16.67,12.5
229,2015-01-21,9.0,10.0,11.15,12.31
230,2015-01-21,10.0,12.31,31.0,26.92
231,2015-01-21,11.0,20.0,18.12,49.62
232,2015-01-21,12.0,19.0,29.58,44.23
233,2015-01-21,13.0,11.54,29.58,61.54
234,2015-01-21,14.0,25.0,22.5,47.92
235,2015-01-21,15.0,15.0,18.08,30.0
236,2015-01-21,16.0,23.0,11.79,16.67
238,2015-01-22,9.0,10.0,9.58,9.17
239,2015-01-22,10.0,10.0,17.69,22.86
240,2015-01-22,11.0,20.77,25.0,41.92
241,2015-01-22,12.0,23.33,35.0,33.33
242,2015-01-22,13.0,10.77,24.17,32.92
243,2015-01-22,14.0,15.83,17.31,13.33
244,2015-01-22,15.0,12.31,18.85,10.0
245,2015-01-22,16.0,15.0,15.0,10.0
248,2015-01-23,9.0,8.64,5.0,10.0
249,2015-01-23,10.0,10.83,23.57,25.83
250,2015-01-23,11.0,15.38,21.25,44.17
251,2015-01-23,12.0,25.0,24.58,22.08
252,2015-01-23,13.0,16.67,19.58,13.85
253,2015-01-23,14.0,10.0,17.0,14.62
254,2015-01-23,15.0,10.0,14.29,22.5
255,2015-01-23,16.0,15.83,9.23,10.0
259,2015-01-24,9.0,11.67,5.0,9.17
260,2015-01-24,10.0,18.33,35.5,13.33
261,2015-01-24,11.0,10.0,34.62,24.62
262,2015-01-24,12.0,20.0,43.08,26.54
263,2015-01-24,13.0,16.67,30.42,39.17
264,2015-01-24,14.0,20.83,27.69,42.31
265,2015-01-24,15.0,10.83,24.62,31.67
266,2015-01-24,16.0,10.0,25.77,29.17
267,2015-01-24,17.0,15.83,15.83,20.0
268,2015-01-24,18.0,13.33,7.5,
271,2015-01-25,9.0,8.75,21.07,10.0
272,2015-01-25,10.0,9.23,28.75,27.5
273,2015-01-25,11.0,20.83,37.08,60.83
274,2015-01-25,12.0,34.23,45.83,73.33
275,2015-01-25,13.0,38.33,49.17,80.83
276,2015-01-25,14.0,31.67,43.75,60.0
277,2015-01-25,15.0,35.0,35.83,51.67
278,2015-01-25,16.0,24.17,41.67,50.0
279,2015-01-25,17.0,19.17,31.25,42.5
280,2015-01-25,18.0,10.0,18.33,
283,2015-01-26,9.0,10.0,9.55,10.0
284,2015-01-26,10.0,10.0,23.33,19.23
285,2015-01-26,11.0,10.0,41.92,25.83
286,2015-01-26,12.0,16.15,38.33,13.33
287,2015-01-26,13.0,16.67,35.0,10.0
288,2015-01-26,14.0,18.33,28.57,21.67
289,2015-01-26,15.0,25.0,30.42,27.5
290,2015-01-26,16.0,10.0,19.17,17.5
293,2015-01-27,9.0,9.62,11.92,11.07
294,2015-01-27,10.0,10.0,21.43,37.5
295,2015-01-27,11.0,10.0,20.83,51.25
296,2015-01-27,12.0,14.17,20.38,58.33
297,2015-01-27,13.0,22.5,20.0,31.25
298,2015-01-27,14.0,10.0,20.0,14.17
299,2015-01-27,15.0,10.0,12.5,10.0
300,2015-01-27,16.0,10.83,8.33,10.0
22382,2015-01-28,9.0,,15.0,
22383,2015-01-28,10.0,,15.0,10.0
22384,2015-01-28,11.0,,21.67,
22387,2015-01-28,13.0,,,10.0
22385,2015-01-28,15.0,,10.0,
22386,2015-01-28,16.0,,35.0,
310,2015-01-29,9.0,,,10.0
302,2015-01-29,10.0,7.5,25.0,20.0
303,2015-01-29,11.0,10.0,20.83,33.33
304,2015-01-29,12.0,20.0,22.69,19.17
305,2015-01-29,13.0,35.83,22.65,15.0
306,2015-01-29,14.0,12.31,20.38,19.23
307,2015-01-29,15.0,10.0,19.17,20.0
308,2015-01-29,16.0,10.0,13.53,13.08
312,2015-01-30,9.0,6.54,13.46,15.71
313,2015-01-30,10.0,10.0,26.43,33.46
314,2015-01-30,11.0,16.25,47.5,53.85
315,2015-01-30,12.0,43.33,42.92,42.5
316,2015-01-30,13.0,22.5,44.62,19.17
317,2015-01-30,14.0,35.0,37.5,22.5
318,2015-01-30,15.0,26.67,30.0,12.5
319,2015-01-30,16.0,10.83,24.29,10.0
322,2015-01-31,8.0,8.75,5.0,9.17
323,2015-01-31,9.0,10.0,12.14,10.0
324,2015-01-31,10.0,10.0,20.38,18.46
325,2015-01-31,11.0,17.69,37.08,46.25
326,2015-01-31,12.0,27.27,36.25,53.75
327,2015-01-31,13.0,40.0,34.17,50.0
328,2015-01-31,14.0,20.0,37.92,45.77
329,2015-01-31,15.0,20.83,32.5,37.5
330,2015-01-31,16.0,26.67,28.75,36.67
331,2015-01-31,17.0,15.83,24.58,35.0
332,2015-01-31,18.0,10.0,12.08,
336,2015-02-01,9.0,10.0,17.69,10.0
337,2015-02-01,10.0,19.09,52.92,19.55
338,2015-02-01,11.0,20.0,70.0,40.0
339,2015-02-01,13.0,36.67,40.0,35.83
340,2015-02-01,14.0,42.0,42.5,45.5
341,2015-02-01,15.0,30.0,40.0,42.0
342,2015-02-01,16.0,11.67,24.58,37.5
343,2015-02-01,17.0,21.0,24.58,22.5
344,2015-02-01,18.0,12.5,14.58,
345,2015-02-01,19.0,10.0,7.5,
349,2015-02-02,9.0,,5.0,5.0
346,2015-02-02,10.0,5.0,21.67,35.0
347,2015-02-02,11.0,20.0,,40.0
350,2015-02-02,13.0,,,10.0
348,2015-02-02,14.0,10.0,10.0,20.0
352,2015-02-03,9.0,8.46,11.54,10.0
353,2015-02-03,10.0,12.73,15.77,10.77
354,2015-02-03,11.0,20.0,19.62,21.67
355,2015-02-03,12.0,13.33,23.75,31.54
356,2015-02-03,13.0,10.83,24.64,20.0
361,2015-02-03,14.0,,18.75,15.83
357,2015-02-03,15.0,10.0,17.08,31.43
358,2015-02-03,16.0,18.33,6.54,25.0
359,2015-02-03,17.0,10.0,5.0,10.0
364,2015-02-04,9.0,8.75,11.25,13.33
365,2015-02-04,10.0,15.38,20.0,35.38
366,2015-02-04,11.0,28.46,21.67,40.83
367,2015-02-04,12.0,25.56,28.33,50.83
368,2015-02-04,13.0,26.15,27.5,36.25
369,2015-02-04,14.0,14.17,26.25,30.0
370,2015-02-04,15.0,15.83,27.92,18.33
371,2015-02-04,16.0,10.0,23.0,30.0
372,2015-02-04,17.0,10.0,7.92,15.0
375,2015-02-05,9.0,10.0,5.0,8.75
376,2015-02-05,10.0,10.0,5.0,10.0
377,2015-02-05,11.0,10.0,6.36,10.0
378,2015-02-05,12.0,10.0,11.25,10.0
379,2015-02-05,13.0,10.0,12.0,10.0
380,2015-02-05,14.0,10.0,19.58,11.67
381,2015-02-05,15.0,10.0,12.5,10.83
382,2015-02-05,16.0,10.0,11.43,10.0
383,2015-02-05,17.0,10.83,6.67,10.0
386,2015-02-06,9.0,9.62,10.71,8.85
387,2015-02-06,10.0,15.0,27.08,22.14
388,2015-02-06,11.0,20.0,35.0,33.85
389,2015-02-06,12.0,31.67,40.83,40.83
390,2015-02-06,13.0,32.5,34.58,42.08
391,2015-02-06,14.0,39.17,37.14,37.08
392,2015-02-06,15.0,18.33,28.33,31.67
393,2015-02-06,16.0,10.0,25.0,16.92
394,2015-02-06,17.0,10.0,20.0,10.0
396,2015-02-07,9.0,8.18,6.25,8.33
397,2015-02-07,10.0,10.0,17.5,27.08
398,2015-02-07,11.0,13.33,32.86,60.0
399,2015-02-07,12.0,27.5,45.0,85.0
400,2015-02-07,13.0,33.75,38.33,60.42
401,2015-02-07,14.0,35.83,35.0,70.0
402,2015-02-07,15.0,37.5,54.17,61.67
403,2015-02-07,16.0,22.31,50.42,57.5
404,2015-02-07,17.0,11.67,47.92,45.0
405,2015-02-07,18.0,13.33,30.38,
406,2015-02-07,19.0,10.0,13.33,
411,2015-02-08,9.0,10.0,12.5,10.0
412,2015-02-08,10.0,18.33,36.25,26.15
413,2015-02-08,11.0,29.17,40.83,52.5
414,2015-02-08,12.0,40.0,54.58,60.83
415,2015-02-08,13.0,24.0,54.58,65.0
416,2015-02-08,14.0,52.5,49.17,56.25
417,2015-02-08,15.0,50.0,41.25,61.67
418,2015-02-08,16.0,31.67,45.0,60.0
419,2015-02-08,17.0,28.33,35.83,37.5
422,2015-02-08,18.0,,30.0,
420,2015-02-08,19.0,16.0,7.5,
424,2015-02-09,9.0,9.58,10.42,9.17
425,2015-02-09,10.0,10.0,25.42,11.54
426,2015-02-09,11.0,10.83,43.75,33.08
427,2015-02-09,12.0,18.33,35.42,33.08
428,2015-02-09,13.0,15.38,33.21,22.31
429,2015-02-09,14.0,20.0,22.92,12.5
430,2015-02-09,15.0,14.29,11.67,13.33
431,2015-02-09,16.0,14.62,5.0,10.0
434,2015-02-10,9.0,9.58,6.67,9.23
435,2015-02-10,10.0,10.0,17.0,15.0
436,2015-02-10,11.0,10.0,13.33,23.33
437,2015-02-10,12.0,10.0,24.29,30.0
438,2015-02-10,13.0,10.0,24.58,21.67
439,2015-02-10,14.0,15.0,25.0,12.5
440,2015-02-10,15.0,11.67,17.92,10.0
441,2015-02-10,16.0,10.0,10.83,10.0
445,2015-02-11,9.0,10.0,10.42,15.0
446,2015-02-11,10.0,10.0,17.14,24.29
447,2015-02-11,11.0,10.0,23.57,50.0
448,2015-02-11,12.0,11.67,29.17,61.54
449,2015-02-11,13.0,20.83,26.25,41.67
450,2015-02-11,14.0,30.0,22.08,24.17
451,2015-02-11,15.0,30.0,14.17,33.33
452,2015-02-11,16.0,27.5,12.92,36.67
455,2015-02-12,9.0,9.17,6.25,7.92
456,2015-02-12,10.0,13.33,17.5,17.08
457,2015-02-12,11.0,10.0,20.83,41.67
458,2015-02-12,12.0,24.17,20.0,44.17
459,2015-02-12,13.0,20.0,23.08,31.67
460,2015-02-12,14.0,26.67,22.92,15.83
461,2015-02-12,15.0,15.0,22.92,24.17
462,2015-02-12,16.0,10.0,15.0,25.83
465,2015-02-13,8.0,10.0,5.0,9.17
466,2015-02-13,9.0,10.0,14.23,11.25
467,2015-02-13,10.0,18.33,24.58,31.15
468,2015-02-13,11.0,30.0,33.85,38.85
469,2015-02-13,12.0,32.31,32.08,47.92
470,2015-02-13,13.0,29.17,30.42,34.17
471,2015-02-13,14.0,18.33,33.33,30.0
472,2015-02-13,15.0,17.5,26.43,11.43
473,2015-02-13,16.0,20.0,27.08,10.0
476,2015-02-14,8.0,9.17,6.67,9.58
477,2015-02-14,9.0,10.0,22.69,10.0
478,2015-02-14,10.0,27.5,45.77,28.57
479,2015-02-14,11.0,58.0,44.58,58.46
480,2015-02-14,12.0,56.67,50.0,65.83
481,2015-02-14,13.0,44.17,55.83,71.25
482,2015-02-14,14.0,51.67,55.77,54.17
483,2015-02-14,15.0,44.58,48.75,56.92
484,2015-02-14,16.0,38.33,44.17,43.33
485,2015-02-14,17.0,46.67,45.42,30.0
486,2015-02-14,18.0,31.67,26.25,
487,2015-02-14,19.0,10.83,12.31,
490,2015-02-15,8.0,10.0,14.58,13.08
491,2015-02-15,9.0,14.62,32.08,16.79
492,2015-02-15,10.0,31.79,42.08,53.57
493,2015-02-15,11.0,43.33,63.33,77.69
494,2015-02-15,12.0,62.5,75.0,116.67
495,2015-02-15,13.0,61.92,77.08,95.38
496,2015-02-15,14.0,45.0,66.67,80.0
497,2015-02-15,15.0,42.5,64.23,65.0
498,2015-02-15,16.0,50.91,62.92,65.0
499,2015-02-15,17.0,54.17,42.5,35.0
500,2015-02-15,18.0,30.83,55.36,
501,2015-02-15,19.0,15.0,23.75,
503,2015-02-16,8.0,9.17,7.69,9.64
504,2015-02-16,9.0,10.0,25.0,21.43
505,2015-02-16,10.0,36.79,44.62,42.31
506,2015-02-16,11.0,55.42,47.5,83.33
507,2015-02-16,12.0,38.33,56.25,84.17
508,2015-02-16,13.0,47.5,59.17,80.0
509,2015-02-16,14.0,45.42,62.08,65.83
510,2015-02-16,15.0,55.83,46.67,59.17
511,2015-02-16,16.0,28.33,46.67,53.33
512,2015-02-16,17.0,33.33,50.0,45.83
513,2015-02-16,18.0,25.38,,
514,2015-02-16,19.0,9.62,8.57,
517,2015-02-17,8.0,9.62,5.42,9.58
518,2015-02-17,9.0,10.0,17.5,37.5
519,2015-02-17,10.0,20.0,34.17,44.17
520,2015-02-17,11.0,26.67,33.33,55.42
521,2015-02-17,12.0,29.17,41.67,60.0
522,2015-02-17,13.0,30.83,43.33,50.0
523,2015-02-17,14.0,32.5,33.33,25.42
524,2015-02-17,15.0,10.0,27.5,10.0
525,2015-02-17,16.0,11.67,19.23,12.5
526,2015-02-17,17.0,10.0,5.0,10.0
527,2015-02-17,18.0,10.0,5.0,
530,2015-02-18,8.0,10.0,6.79,10.0
531,2015-02-18,9.0,12.5,20.77,20.0
532,2015-02-18,10.0,29.17,35.83,43.46
533,2015-02-18,11.0,29.17,43.46,50.83
534,2015-02-18,12.0,33.33,47.5,60.0
535,2015-02-18,13.0,42.5,40.77,59.17
536,2015-02-18,14.0,48.5,49.17,50.0
537,2015-02-18,15.0,35.77,38.33,36.67
538,2015-02-18,16.0,40.0,39.17,33.33
539,2015-02-18,17.0,56.67,31.25,30.0
540,2015-02-18,18.0,37.5,18.33,
542,2015-02-19,9.0,6.25,13.08,9.58
543,2015-02-19,10.0,18.33,22.5,12.5
544,2015-02-19,11.0,29.23,26.67,18.75
545,2015-02-19,12.0,34.17,36.92,25.0
546,2015-02-19,13.0,25.0,31.25,24.17
547,2015-02-19,14.0,33.85,32.92,14.17
548,2015-02-19,15.0,23.33,41.25,11.67
549,2015-02-19,16.0,20.0,26.25,14.17
550,2015-02-19,17.0,20.0,18.75,10.0
551,2015-02-19,18.0,20.0,9.17,
553,2015-02-20,9.0,9.17,,9.58
554,2015-02-20,10.0,20.0,40.62,16.67
555,2015-02-20,11.0,35.38,,35.42
556,2015-02-20,12.0,39.17,45.0,45.83
557,2015-02-20,13.0,35.0,78.57,40.0
558,2015-02-20,14.0,32.5,82.5,44.17
559,2015-02-20,15.0,37.14,100.0,50.0
560,2015-02-20,16.0,29.17,93.75,50.0
561,2015-02-20,17.0,11.67,26.15,19.17
562,2015-02-20,18.0,14.17,19.17,
565,2015-02-21,9.0,8.64,17.69,14.17
566,2015-02-21,10.0,10.0,35.0,30.77
567,2015-02-21,11.0,21.15,31.67,55.38
568,2015-02-21,12.0,38.46,46.79,62.5
569,2015-02-21,13.0,31.67,39.29,57.08
570,2015-02-21,14.0,43.0,40.83,50.0
571,2015-02-21,15.0,25.83,35.0,50.0
572,2015-02-21,16.0,18.33,38.33,65.0
573,2015-02-21,17.0,19.23,30.42,37.86
574,2015-02-21,18.0,13.33,25.33,
575,2015-02-21,19.0,18.33,10.77,
579,2015-02-22,9.0,10.0,6.25,10.0
580,2015-02-22,10.0,10.0,27.5,10.0
581,2015-02-22,11.0,10.77,30.42,23.75
582,2015-02-22,12.0,17.5,42.92,38.33
583,2015-02-22,13.0,20.0,29.17,30.42
584,2015-02-22,14.0,15.0,31.67,30.0
585,2015-02-22,15.0,12.5,26.67,27.31
586,2015-02-22,16.0,10.0,22.08,35.83
587,2015-02-22,17.0,11.67,14.58,22.14
589,2015-02-23,9.0,7.14,6.25,12.5
590,2015-02-23,10.0,10.83,15.36,21.67
591,2015-02-23,11.0,12.31,21.25,37.69
592,2015-02-23,12.0,18.33,23.85,29.62
593,2015-02-23,13.0,10.0,30.0,14.33
594,2015-02-23,14.0,16.92,17.0,10.0
595,2015-02-23,15.0,10.0,31.67,13.33
596,2015-02-23,16.0,16.67,17.92,10.0
599,2015-02-24,9.0,8.46,,9.17
600,2015-02-24,10.0,10.0,21.54,15.83
601,2015-02-24,11.0,10.0,32.5,21.67
602,2015-02-24,12.0,12.5,22.92,20.83
603,2015-02-24,13.0,12.31,22.5,12.5
604,2015-02-24,14.0,10.0,20.0,13.33
605,2015-02-24,15.0,10.0,11.25,10.0
606,2015-02-24,16.0,10.0,8.33,10.0
610,2015-02-25,9.0,10.83,13.33,10.0
611,2015-02-25,10.0,15.83,23.85,16.67
612,2015-02-25,11.0,16.15,24.17,35.83
613,2015-02-25,12.0,17.5,22.92,34.17
614,2015-02-25,13.0,19.17,25.0,25.38
615,2015-02-25,14.0,27.69,22.92,10.0
616,2015-02-25,15.0,15.83,21.67,10.83
617,2015-02-25,16.0,10.0,8.75,12.5
620,2015-02-26,9.0,7.08,5.42,9.17
621,2015-02-26,10.0,13.33,13.21,18.33
622,2015-02-26,11.0,20.0,24.17,35.0
623,2015-02-26,12.0,11.67,23.46,36.67
624,2015-02-26,13.0,10.0,25.0,17.69
625,2015-02-26,14.0,18.46,20.42,26.15
626,2015-02-26,15.0,12.31,18.46,21.67
627,2015-02-26,16.0,10.0,12.67,11.54
629,2015-02-27,9.0,9.58,7.86,15.0
630,2015-02-27,10.0,13.08,25.0,30.0
631,2015-02-27,11.0,12.5,25.0,40.83
632,2015-02-27,12.0,23.33,30.0,40.0
633,2015-02-27,13.0,18.33,26.67,16.15
634,2015-02-27,14.0,20.0,20.0,20.0
635,2015-02-27,15.0,11.67,19.58,20.0
636,2015-02-27,16.0,11.67,6.25,20.0
637,2015-02-27,17.0,10.83,5.83,20.0
640,2015-02-28,9.0,9.17,8.33,11.54
641,2015-02-28,10.0,17.5,29.17,13.85
642,2015-02-28,11.0,26.15,21.25,29.23
643,2015-02-28,12.0,23.08,26.67,25.83
644,2015-02-28,13.0,29.17,15.83,10.0
645,2015-02-28,14.0,25.83,13.75,10.0
646,2015-02-28,15.0,25.0,6.67,10.0
647,2015-02-28,16.0,20.0,5.83,10.0
648,2015-02-28,17.0,20.0,5.0,10.0
649,2015-02-28,18.0,13.33,5.83,
650,2015-02-28,19.0,10.0,5.0,
652,2015-03-01,9.0,7.92,7.31,10.0
653,2015-03-01,10.0,17.5,34.23,28.75
654,2015-03-01,11.0,19.17,33.75,39.62
655,2015-03-01,12.0,25.38,32.92,30.0
656,2015-03-01,13.0,33.64,37.08,19.17
657,2015-03-01,14.0,31.67,33.08,15.0
658,2015-03-01,15.0,13.33,25.42,20.0
659,2015-03-01,16.0,14.17,19.23,13.85
660,2015-03-01,17.0,10.0,18.33,10.0
661,2015-03-01,18.0,10.0,7.5,
665,2015-03-02,9.0,10.83,14.29,13.33
666,2015-03-02,10.0,22.14,27.5,25.0
667,2015-03-02,11.0,24.17,32.92,45.0
668,2015-03-02,12.0,15.83,29.17,42.08
669,2015-03-02,13.0,15.0,30.0,37.31
670,2015-03-02,14.0,14.17,31.67,28.75
671,2015-03-02,15.0,14.17,26.15,30.0
672,2015-03-02,16.0,18.33,15.42,27.5
673,2015-03-02,17.0,10.0,8.85,10.0
674,2015-03-02,18.0,10.0,5.0,
677,2015-03-03,9.0,9.58,6.54,10.0
678,2015-03-03,10.0,10.0,19.17,22.31
679,2015-03-03,11.0,10.0,18.64,40.0
680,2015-03-03,12.0,12.5,26.67,27.31
