date,hour_of_day,DT_wait_time,POC_wait_time,SM_wait_time
2015-01-10,19.0,79.62,23.75,
2015-01-10,20.0,68.33,15.36,
2015-01-10,21.0,55.0,10.0,
2015-01-10,22.0,60.67,9.62,
2015-01-11,9.0,53.0,,
2015-01-11,10.0,64.62,6.15,
2015-01-11,11.0,47.92,10.0,
2015-01-11,12.0,64.17,10.0,
2015-01-11,13.0,72.5,15.0,
2015-01-11,14.0,90.83,16.92,
2015-01-11,15.0,78.33,22.31,
2015-01-11,16.0,74.29,22.08,
2015-01-11,17.0,67.92,21.43,
2015-01-11,18.0,56.0,6.92,
2015-01-11,19.0,56.25,7.08,
2015-01-11,20.0,55.83,6.92,
2015-01-12,9.0,53.08,5.0,
2015-01-12,10.0,61.54,5.0,
2015-01-12,11.0,60.0,5.77,
2015-01-12,12.0,70.0,11.67,
2015-01-12,13.0,65.38,16.67,
2015-01-12,14.0,53.33,11.92,
2015-01-12,15.0,68.33,9.17,
2015-01-12,16.0,52.0,10.0,
2015-01-12,17.0,40.0,7.5,
2015-01-12,18.0,26.0,5.0,
2015-01-12,19.0,38.75,5.0,
2015-01-12,20.0,20.42,5.0,
2015-01-13,9.0,47.81,5.0,
2015-01-13,10.0,60.33,9.64,
2015-01-13,11.0,66.92,11.92,
2015-01-13,12.0,76.0,20.0,
2015-01-13,13.0,65.71,21.79,
2015-01-13,14.0,60.0,24.55,
2015-01-13,15.0,66.67,15.0,
2015-01-13,16.0,77.5,21.67,
2015-01-13,17.0,66.15,12.92,
2015-01-13,18.0,59.17,6.67,
2015-01-13,19.0,45.83,5.0,
2015-01-14,9.0,46.0,5.0,
2015-01-14,10.0,57.69,5.0,
2015-01-14,11.0,62.33,6.67,
2015-01-14,12.0,76.43,12.73,
2015-01-14,13.0,76.67,17.22,
2015-01-14,14.0,68.0,18.75,
2015-01-14,15.0,57.5,13.75,
2015-01-14,16.0,74.62,22.92,
2015-01-14,17.0,78.33,14.17,
2015-01-14,18.0,39.29,10.0,
2015-01-14,19.0,61.54,15.0,
2015-01-15,9.0,50.0,5.0,
2015-01-15,10.0,66.92,9.17,
2015-01-15,11.0,75.0,17.5,
2015-01-15,12.0,75.0,23.33,
2015-01-15,13.0,,22.08,
2015-01-15,14.0,,23.21,
2015-01-15,15.0,90.0,15.0,
2015-01-15,16.0,67.92,21.43,
2015-01-15,17.0,92.86,15.0,
2015-01-15,18.0,100.83,5.0,
2015-01-15,19.0,45.83,5.0,
2015-01-15,20.0,35.36,5.0,
2015-01-16,9.0,66.67,5.71,
2015-01-16,10.0,82.14,15.42,
2015-01-16,11.0,100.83,36.92,
2015-01-16,12.0,116.67,46.82,
2015-01-16,13.0,118.33,46.25,
2015-01-16,14.0,124.55,48.75,
2015-01-16,15.0,143.85,45.38,
2015-01-16,16.0,148.33,45.77,
2015-01-16,17.0,175.45,39.62,
2015-01-16,18.0,152.31,35.0,
2015-01-16,19.0,84.17,26.67,
2015-01-16,20.0,75.83,15.0,
2015-01-16,21.0,88.18,10.0,
2015-01-16,22.0,54.17,10.0,
2015-01-17,9.0,63.18,,
2015-01-17,10.0,79.58,,
2015-01-17,11.0,124.44,,
2015-01-17,12.0,135.0,,
2015-01-17,13.0,134.62,,
2015-01-17,14.0,122.5,,
2015-01-17,15.0,131.67,,
2015-01-17,16.0,131.54,,
2015-01-17,17.0,145.0,,
2015-01-17,18.0,132.5,53.75,
2015-01-17,19.0,105.38,28.0,
2015-01-17,20.0,90.83,48.85,
2015-01-17,21.0,80.0,32.5,
2015-01-17,22.0,70.38,27.69,
2015-01-18,9.0,69.58,6.25,
2015-01-18,10.0,84.62,26.79,
2015-01-18,11.0,115.33,36.43,
2015-01-18,12.0,107.69,40.5,
2015-01-18,13.0,90.0,45.0,
2015-01-18,14.0,102.31,41.25,
2015-01-18,15.0,128.33,40.77,
2015-01-18,16.0,135.29,44.17,
2015-01-18,17.0,81.67,38.12,
2015-01-18,18.0,95.83,38.33,
2015-01-18,19.0,87.5,33.0,
2015-01-18,20.0,73.08,26.25,
2015-01-18,21.0,58.33,20.45,
2015-01-18,22.0,62.5,16.82,
2015-01-19,9.0,58.93,5.0,
2015-01-19,10.0,67.14,14.64,
2015-01-19,11.0,113.0,28.89,
2015-01-19,12.0,126.92,42.33,
2015-01-19,13.0,115.0,59.29,
2015-01-19,14.0,95.56,43.75,
2015-01-19,15.0,100.0,33.85,
2015-01-19,16.0,119.17,39.58,
2015-01-19,17.0,123.85,50.0,
2015-01-19,18.0,99.17,15.5,
2015-01-19,19.0,76.43,20.0,
2015-01-19,20.0,80.0,11.67,
2015-01-19,21.0,54.17,5.83,
2015-01-19,22.0,47.5,5.0,
2015-01-20,9.0,51.25,5.0,
2015-01-20,10.0,85.0,19.62,
2015-01-20,11.0,120.83,41.15,
2015-01-20,12.0,123.08,35.42,
2015-01-20,13.0,79.23,45.5,
2015-01-20,14.0,83.33,42.5,
2015-01-20,15.0,100.83,42.5,
2015-01-20,16.0,115.83,43.46,
2015-01-20,17.0,77.5,42.27,
2015-01-20,18.0,84.17,28.64,
2015-01-20,19.0,95.0,11.67,
2015-01-20,20.0,56.67,5.42,
2015-01-20,21.0,47.5,6.25,
2015-01-21,9.0,58.57,5.0,
2015-01-21,10.0,61.33,6.25,
2015-01-21,11.0,62.14,23.75,
2015-01-21,12.0,62.31,19.0,
2015-01-21,13.0,81.67,22.22,
2015-01-21,14.0,74.17,21.25,
2015-01-21,15.0,63.33,12.08,
2015-01-21,16.0,83.08,25.0,
2015-01-21,17.0,71.67,19.23,
2015-01-21,18.0,51.67,10.0,
2015-01-21,19.0,61.54,10.83,
2015-01-22,9.0,55.0,5.71,
2015-01-22,10.0,74.62,22.0,
2015-01-22,11.0,74.67,27.69,
2015-01-22,12.0,67.5,36.92,
2015-01-22,13.0,75.83,36.54,
2015-01-22,14.0,89.29,38.33,
2015-01-22,15.0,100.0,35.0,
2015-01-22,16.0,85.71,38.75,
2015-01-22,17.0,80.0,32.92,
2015-01-22,18.0,70.0,21.25,
2015-01-22,19.0,56.15,12.08,
2015-01-22,20.0,39.38,5.0,
2015-01-23,9.0,81.82,5.0,
2015-01-23,10.0,69.17,8.33,
2015-01-23,11.0,56.67,13.75,
2015-01-23,12.0,89.23,13.46,
2015-01-23,13.0,98.08,23.57,
2015-01-23,14.0,61.54,25.42,
2015-01-23,15.0,70.0,15.0,
2015-01-23,16.0,91.67,24.23,
2015-01-23,17.0,59.29,18.75,
2015-01-23,18.0,47.5,10.0,
2015-01-23,19.0,65.83,5.0,
2015-01-23,20.0,29.58,5.0,
2015-01-24,9.0,46.07,5.0,
2015-01-24,10.0,61.92,9.29,
2015-01-24,11.0,87.69,29.23,
2015-01-24,12.0,81.54,39.58,
2015-01-24,13.0,84.17,37.08,
2015-01-24,14.0,101.15,38.85,
2015-01-24,15.0,110.0,37.08,
2015-01-24,16.0,100.0,44.62,
2015-01-24,17.0,95.0,39.58,
2015-01-24,18.0,96.92,36.25,
2015-01-24,19.0,78.33,23.33,
2015-01-24,20.0,65.83,13.21,
